County, Latitude, Longitude, roadtmpc, pcpn, srad, snwd, drct,time,avg
Story County,41.873235,-93.571107,29.20000076,0,541.2000122,0,170,04-08-2017T21:15:00Z,68.349778
Story County,41.873235,-93.571107,29.29999924,0,391.8999939,0,170,04-08-2017T21:35:00Z,68.349778
Story County,41.873235,-93.571107,29.29999924,0,391.8999939,0,170,04-08-2017T21:40:00Z,68.349778
Story County,41.873235,-93.571107,29.29999924,0,541.2000122,0,170,04-08-2017T21:00:00Z,68.349778
Story County,41.873235,-93.571107,29.29999924,0,541.2000122,0,180,04-08-2017T20:55:00Z,68.349778
Story County,41.873235,-93.571107,29.79999924,0,541.2000122,0,180,04-08-2017T20:20:00Z,68.349778
Story County,41.873235,-93.571107,29.79999924,0,541.2000122,0,180,04-08-2017T20:45:00Z,68.349778
Story County,41.873235,-93.571107,29.79999924,0,541.2000122,0,180,04-08-2017T20:50:00Z,68.349778
Story County,41.873235,-93.571107,29.79999924,0,685.5999756,0,190,04-08-2017T17:25:00Z,68.349778
Story County,41.873235,-93.571107,29.79999924,0,685.5999756,0,190,04-08-2017T17:30:00Z,68.349778
Story County,41.873235,-93.571107,29.79999924,0,746.2000122,0,180,04-08-2017T20:15:00Z,68.349778
Story County,41.873235,-93.571107,30,0,541.2000122,0,180,04-08-2017T20:25:00Z,68.349778
Story County,41.873235,-93.571107,30,0,541.2000122,0,180,04-08-2017T20:30:00Z,68.349778
Story County,41.873235,-93.571107,30.10000038,0,606.9000244,0,190,04-08-2017T17:15:00Z,68.349778
Story County,41.873235,-93.571107,30.10000038,0,685.5999756,0,190,04-08-2017T17:20:00Z,68.349778
Story County,41.873235,-93.571107,30.10000038,0,685.5999756,0,190,04-08-2017T17:35:00Z,68.349778
Story County,41.873235,-93.571107,30.10000038,0,685.5999756,0,190,04-08-2017T17:40:00Z,68.349778
Story County,41.873235,-93.571107,30.29999924,0,746.2000122,0,180,04-08-2017T20:05:00Z,68.349778
Story County,41.873235,-93.571107,30.29999924,0,746.2000122,0,180,04-08-2017T20:10:00Z,68.349778
Story County,41.873235,-93.571107,30.39999962,0,541.2000122,0,180,04-08-2017T20:35:00Z,68.349778
Story County,41.873235,-93.571107,30.39999962,0,541.2000122,0,180,04-08-2017T20:40:00Z,68.349778
Story County,41.873235,-93.571107,30.79999924,0,685.5999756,0,190,04-08-2017T18:15:00Z,68.349778
Story County,41.873235,-93.571107,30.79999924,0,691.5,0,190,04-08-2017T18:20:00Z,68.349778
